																																																		
									F	F	F	F	F	F	F	F	F	F	F		F	F	F		F	F	F	F	F	D	F	F	F	F	F		F	F	F		F	D	F	F	F	F	F	F	F	
									F	F	F	F	F						F		F	F	F		DS						F	F	F	F	F		F		F		F		F	F	F	F	F	F	F	
	F	F	F	F	F				F	F	F	F	F		F	F	F		F	D	F	F	F	DS	F	F	F	F	F		F	F	F	F	F		F		F		F		F	F	F	F	F	F	F	
	F				F										F						F	F	F		F	F	F	F	F		F	F	F	F	F				F		F		F	F	F	F	F	F	F	
	F		F		F	D	F	F	F	F	F	F	F		F	F	F	F	F	DP	F	F	F		F	F	F	F	F		F	F	F	F	F	D	F		F	F	F		F	F	F	F	F	F	F	
	D		D		F		F	F	F	F	F	F	F				D										D				F	F	F	F	F		F												D	
	F	F	F		F		F	F	F	F	F	F	F		F	F	F	D	F	F	F				F	F	F				F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F	
	F	F	F		F		F	F	F	F	F	F	F		F	F	F		F	F	F				F	F	F								D														F	
	F	F	F		F		F	F	F	F	F	F	F	DP	F	F	F		F	F	F				F	F	F						F	F	F	F	F	F	F		F	F	F	F	F		F	F	F	
					D		F	F	F	F	F	F	F				D				D				DP								F	F	F	F	F	F	F						F		F			
	F		F	F	F		F	F	F	F	F	F	F		F	F	F	D	F		F	F	F	F	F		F	F	F		F	D	F	F	F	F	F	F	F	D	F	F	F	F	F		F	F	F	
	F		F	F	F		F								F	F	F		F		F	F	F	F	F		F	F	F		F		F	F	F	F	F	F	F		DS								F	
	F	D	F	F	F		F	F	F	F	F				F	F	F		F		F	F	F	F	F		F	F	F		F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F				DP						F								F		F	F	F	F	F		F	F	F		F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F		F	F	F	F	F	D	F	F	F		F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F		F	F	F	F	F	F	F																		F	F	F		F				D						D								F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	D	F	F	F		F		F	F	F		SUU		F	F	F	F	F	F	F				F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F				DP		D		DS		F		SU		F	F	F	F	F	F	F				F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	F	F		F	F	F		F		F	D	F	F	F	F	F	F	F				F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F						F				F		F		F	F	F		F														F	
